CASENUM,VEH_NO,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,PVE_FORMS,PNUMOCCS,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN,PSUSTRAT,WEIGHT
201800414999,2,4,56,189,189,1,10,1,0,1,13,30,14,0,2,0,2,404,2404,14,1997,1J4FT28S6VL5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,2,5,12,0,0,0,777777777777,777777777777,777777777777,20,265.23227321
201800415754,2,3,38,573,38,1,10,1,0,1,13,14,14,0,2,0,30,40,30040,4,2005,3VWDF71K05M*,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,2,5,12,0,0,0,777777777777,777777777777,777777777777,14,239.71349847
201800422213,2,2,77,641,77,2,9,1,0,1,11,2,14,0,2,0,49,43,49043,4,2004,4T1BF28B44U3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,2,5,12,0,0,0,777777777777,777777777777,777777777777,9,167.06008573
201800422227,1,2,77,641,77,2,10,1,0,1,6,0,14,0,2,0,37,402,37402,14,2011,5J6RE4H79BL0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,4,5,12,0,0,0,777777777777,777777777777,777777777777,9,234.88323488
201800422278,2,2,77,687,77,2,10,1,0,1,17,30,14,0,2,0,36,38,36038,3,2017,3C3CFFKR7HT7,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,0,0,0,777777777777,777777777777,777777777777,9,239.54062013
201800422281,2,2,77,687,77,2,7,1,0,1,12,35,14,0,2,0,20,471,20471,34,1991,1GCCS14R5M82,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,2,3,12,0,0,0,777777777777,777777777777,777777777777,9,244.8210033
201800422566,2,3,52,587,52,2,2,1,0,1,15,15,8,0,2,0,99,399,99399,9,9999,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,99,9,8,12,0,0,0,777777777777,777777777777,777777777777,18,30.812339973
201800423046,2,3,70,138,70,2,7,1,0,1,12,0,14,0,2,0,12,471,12471,34,1987,1FTCR10A2HUA,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,5,2,5,12,0,0,0,777777777777,777777777777,777777777777,16,132.15328946
201800423095,2,3,70,46,70,2,10,1,0,1,14,5,34,0,2,0,20,481,20481,34,2012,1GC1KXC8XCF2,1,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,4,5,12,0,0,0,888888888888,777777777777,777777777777,16,235.19710588
201800425611,2,3,54,516,54,1,7,1,1,1,15,40,14,0,2,0,12,23,12023,4,2008,3FAHP07Z58R*,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,6,2,12,0,0,0,777777777777,777777777777,777777777777,14,134.16239801
